matchid,inningsid,overid,deliveryid,contr
1473438.0,1.0,0,1,-0.5829062541299772
1473438.0,1.0,0,2,3.25458851115123
1473438.0,1.0,0,3,-0.8391052317501073
1473438.0,1.0,0,4,-0.9064552498785299
1473438.0,1.0,0,5,-12.719462242880734
1473438.0,1.0,0,6,-0.6092999726055377
1473438.0,1.0,1,1,-0.6673995126138659
1473438.0,1.0,1,2,-0.7971730787561848
1473438.0,1.0,1,3,-0.866548745480298
1473438.0,1.0,1,4,-0.913536747925644
1473438.0,1.0,1,5,0.07432696787363446
1473438.0,1.0,1,6,-0.7767746084090954
1473438.0,1.0,2,1,-0.9799143337221887
1473438.0,1.0,2,2,-1.0053656838175977
1473438.0,1.0,2,3,-1.0062581984627281
1473438.0,1.0,2,4,2.9827796587542146
1473438.0,1.0,2,5,-1.0284405797377583
1473438.0,1.0,2,6,-0.9963385305769175
1473438.0,1.0,3,1,-0.8806703177636275
1473438.0,1.0,3,2,3.0503659204812443
1473438.0,1.0,3,3,4.994296994424605
1473438.0,1.0,3,4,-1.0546418418629282
1473438.0,1.0,3,5,4.900464988703892
1473438.0,1.0,3,6,-1.168075306925186
1473438.0,1.0,4,1,4.8702835283774455
1473438.0,1.0,4,2,-0.08870270928703072
1473438.0,1.0,4,3,-1.1609030080064822
1473438.0,1.0,4,4,-1.1786210652667644
1473438.0,1.0,4,5,2.8025249534676
1473438.0,1.0,4,6,2.726604856064501
1473438.0,1.0,5,1,2.763589720706495
1473438.0,1.0,5,2,-0.20001522953203854
1473438.0,1.0,5,3,2.7239407093170094
1473438.0,1.0,5,4,4.7041363309412425
1473438.0,1.0,5,5,2.6839392012561696
1473438.0,1.0,5,6,-0.3556741092924478
1473438.0,1.0,6,1,-1.1266741246391059
1473438.0,1.0,6,2,2.8644606548850398
1473438.0,1.0,6,3,-1.144612848674637
1473438.0,1.0,6,4,-1.1538938907581093
1473438.0,1.0,6,5,-1.1633790524025012
1473438.0,1.0,6,6,-0.17306168555323276
1473438.0,1.0,7,1,-1.1910965759129335
1473438.0,1.0,7,3,-0.18480690650552511
1473438.0,1.0,7,4,-0.21098654803612882
1473438.0,1.0,7,6,-1.2133448494084116
1473438.0,1.0,7,7,2.7761409722665924
1473438.0,1.0,7,8,-1.2273578984836429
1473438.0,1.0,8,2,4.7543927096013086
1473438.0,1.0,8,3,0.7433874492080894
1473438.0,1.0,8,4,-0.27418509907759536
1473438.0,1.0,8,5,0.721201877019485
1473438.0,1.0,8,6,4.7097604429945115
1473438.0,1.0,8,7,2.703691936853705
1473438.0,1.0,9,1,-1.3138730762600626
1473438.0,1.0,9,2,-0.33057705968725437
1473438.0,1.0,9,3,2.6626302155446275
1473438.0,1.0,9,4,-1.3494667245851952
1473438.0,1.0,9,5,4.638320843632631
1473438.0,1.0,9,6,-6.091425352233525
1473438.0,1.0,10,1,-0.2635713862956346
1473438.0,1.0,10,2,0.1363485545597063
1473438.0,1.0,10,3,-5.600409216509515
1473438.0,1.0,10,4,0.2381775222234841
1473438.0,1.0,10,5,-0.9357295093881499
1473438.0,1.0,10,6,-1.0573158278131383
1473438.0,1.0,11,1,0.03251764674893187
1473438.0,1.0,11,2,-1.1421666838581042
1473438.0,1.0,11,3,2.7904026044771832
1473438.0,1.0,11,4,-0.27725912093088945
1473438.0,1.0,11,5,2.8739545956290335
1473438.0,1.0,11,6,2.803668863747422
1473438.0,1.0,12,2,-6.262728123529424
1473438.0,1.0,12,3,0.23921989726546022
1473438.0,1.0,12,4,-0.11305693853411136
1473438.0,1.0,12,5,0.032339326514449374
1473438.0,1.0,12,6,0.7779863822772801
1473438.0,1.0,12,7,-0.27537265212421524
1473438.0,1.0,13,1,-0.2604170842073723
1473438.0,1.0,13,2,-0.13184163212585198
1473438.0,1.0,13,3,-0.29838560967366967
1473438.0,1.0,13,4,2.7924903157627092
1473438.0,1.0,13,5,0.7184971188406057
1473438.0,1.0,13,6,-0.34675605502870277
1473438.0,1.0,14,1,-0.43169075968726767
1473438.0,1.0,14,2,-0.4022707199072608
1473438.0,1.0,14,3,-1.4482263035131633
1473438.0,1.0,14,4,-0.4902374628357331
1473438.0,1.0,14,5,-0.47057581404874704
1473438.0,1.0,14,6,-5.744585057440911
1473438.0,1.0,15,1,-0.19410319639620988
1473438.0,1.0,15,2,-0.9129429809529095
1473438.0,1.0,15,3,2.904941297507026
1473438.0,1.0,15,4,-8.523829630910999
1473438.0,1.0,15,5,-0.6863255641650066
1473438.0,1.0,15,6,0.1348358538638228
1473438.0,1.0,16,1,0.02204470043966089
1473438.0,1.0,16,2,-0.1749436010260832
1473438.0,1.0,16,3,-0.09245087614869285
1473438.0,1.0,16,4,-1.2397347977869908
1473438.0,1.0,16,5,-0.2736381994515009
1473438.0,1.0,16,6,-1.2393084293272845
1473438.0,1.0,17,1,-1.34926548024648
1473438.0,1.0,17,2,-0.38861912260381026
1473438.0,1.0,17,3,-1.3960524050973186
1473438.0,1.0,17,4,4.525873034211571
1473438.0,1.0,17,5,-0.5185400396775928
